Objekt,Druh,Číslo,Jazyk,Cesta,Důvody,Jistota
03_CYC_INT2,SW.Blocks.OB,32,LAD,EXPORT/Program blocks/01_OB/03_CYC_INT2.xml,Komisionačně kritický OB,STŘEDNÍ
04_CYC_INT5,SW.Blocks.OB,35,LAD,EXPORT/Program blocks/01_OB/04_CYC_INT5.xml,Komisionačně kritický OB,STŘEDNÍ
05_MOD_ERR,SW.Blocks.OB,122,STL,EXPORT/Program blocks/01_OB/05_MOD_ERR.xml,Komisionačně kritický OB,STŘEDNÍ
07_CYCL_FLT,SW.Blocks.OB,80,STL,EXPORT/Program blocks/01_OB/07_CYCL_FLT.xml,Komisionačně kritický OB,STŘEDNÍ
08_HW_INT0,SW.Blocks.OB,40,LAD,EXPORT/Program blocks/01_OB/08_HW_INT0.xml,Komisionačně kritický OB,STŘEDNÍ
09_I/O_FLT1,SW.Blocks.OB,82,STL,EXPORT/Program blocks/01_OB/09_IO_FLT1.xml,Komisionačně kritický OB,STŘEDNÍ
11_PROG_ERR,SW.Blocks.OB,121,STL,EXPORT/Program blocks/01_OB/11_PROG_ERR.xml,Komisionačně kritický OB,STŘEDNÍ
12_RACK_FLT,SW.Blocks.OB,86,STL,EXPORT/Program blocks/01_OB/12_RACK_FLT.xml,Komisionačně kritický OB,STŘEDNÍ
LaserMarkingBuffer,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/MES to PLC_ext/OLD/LaserMarkingBuffer.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_AGVExchange,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/MES to PLC/OLD/MEStoPLC_AGVExchange.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_AlarmMassage_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/MES to PLC_ext/OLD/MEStoPLC_AlarmMassage_ext.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_Common,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES/MES to PLC/OLD/MEStoPLC_Common.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
MEStoPLC_Common_ext,SW.Types.PlcStruct,,,EXPORT/PLC data types/MES_EXT/MES to PLC_ext/Cammand/MEStoPLC_Common_ext.xml,"Bezpečnostně-adjacentní klíčová slova: e stop, e-stop, estop, sto | Externí rozhraní (klíčová slova): mes",STŘEDNÍ
