kind,name,number,language,source_path
SW.Blocks.FC,ST10Cyl_interface91-100,1029,LAD,EXPORT/Program blocks/OP010/10_Device/01_Cylinder/ST10Cyl_interface91-100.xml
SW.Blocks.FC,ST10_Alarm,1005,LAD,EXPORT/Program blocks/OP010/05_Alarm/ST10_Alarm.xml
SW.Blocks.FC,ST10_Analog,1080,SCL,EXPORT/Program blocks/OP010/10_Device/08_PressureAanlog/ST10_Analog.xml
SW.Blocks.FC,ST10_Auto,1003,LAD,EXPORT/Program blocks/OP010/03_Auto/ST10_Auto.xml
SW.Blocks.FC,ST10_ChangeOver,1008,LAD,EXPORT/Program blocks/OP010/08_ChangeOver/ST10_ChangeOver.xml
SW.Blocks.FC,ST10_Device,1010,LAD,EXPORT/Program blocks/OP010/10_Device/ST10_Device.xml
SW.Blocks.FC,ST10_Input,1001,LAD,EXPORT/Program blocks/OP010/01_Input/ST10_Input.xml
SW.Blocks.FC,ST10_Main,1050,LAD,EXPORT/Program blocks/OP010/00_Main/ST10_Main.xml
SW.Blocks.FC,ST10_Manual,1004,LAD,EXPORT/Program blocks/OP010/04_Manual/ST10_Manual.xml
SW.Blocks.FC,ST10_Output,1002,LAD,EXPORT/Program blocks/OP010/02_Output/ST10_Output.xml
SW.Blocks.FC,ST10_PartData,1500,SCL,EXPORT/Program blocks/OP010/12_PartData/ST10_PartData.xml
SW.Blocks.FC,ST10_SafetyGate,1140,SCL,EXPORT/Program blocks/OP010/10_Device/03_SafetyGate/ST10_SafetyGate.xml
SW.Blocks.FC,ST10_Tip,1007,LAD,EXPORT/Program blocks/OP010/07_Tip/ST10_Tip.xml
SW.Blocks.FC,ST10_Warning,1006,LAD,EXPORT/Program blocks/OP010/06_Warning/ST10_Warning.xml
SW.Blocks.FC,Servo,2500,LAD,EXPORT/Program blocks/OP010/10_Device/25_V90/Servo.xml
SW.Blocks.FC,Stopper,2600,LAD,EXPORT/Program blocks/OP010/10_Device/26_Stopper/Stopper.xml
SW.Blocks.FC,fcFixtureCheck,2,LAD,EXPORT/Program blocks/03_Device/100 FixtureCheck/fcFixtureCheck.xml
SW.Blocks.FC,块_1,1,LAD,EXPORT/Program blocks/OP010/10_Device/25_V90/Patch/块_1.xml
SW.Blocks.GlobalDB,AutoProcessControl,5100,DB,EXPORT/Program blocks/OP010/03_Auto/AutoProcessControl.xml
SW.Blocks.GlobalDB,AutoProcessData,1600,DB,EXPORT/Program blocks/OP010/03_Auto/AutoProcessData.xml
SW.Blocks.GlobalDB,AutoProcessData_Buffer,1601,DB,EXPORT/Program blocks/OP010/03_Auto/AutoProcessData_Buffer.xml
SW.Blocks.GlobalDB,AutoProcessData_Buffer_Clear,1602,DB,EXPORT/Program blocks/OP010/03_Auto/AutoProcessData_Buffer_Clear.xml
SW.Blocks.GlobalDB,AutoProcess_HMI,1666,DB,EXPORT/Program blocks/OP010/03_Auto/HMI/AutoProcess_HMI.xml
